pickup_zone,dropoff_zone,avg_distance_km,avg_duration_hr
Alphabet City,Alphabet City,0.5744980360647111,0.08164529914529915
Alphabet City,Astoria,5.961565836280053,0.37111111111111106
Alphabet City,Bath Beach,13.54030599887452,0.47944444444444445
Alphabet City,Battery Park City,3.4313400192066936,0.21777777777777776
Alphabet City,Bay Ridge,11.232390522693692,0.3576388888888889
Alphabet City,Bedford,4.201005326408636,0.32822222222222225
Alphabet City,Boerum Hill,3.7596734434771952,0.19083333333333333
Alphabet City,Brooklyn Heights,3.4535006544764384,0.1636111111111111
Alphabet City,Bushwick North,6.699396072031107,0.48277777777777775
Alphabet City,Bushwick South,5.086385695597822,0.3173148148148148
Alphabet City,Central Park,6.5288304053854445,0.525
Alphabet City,Chinatown,1.8705814955383158,0.1926388888888889
Alphabet City,Clinton East,4.14162661586258,0.23090277777777776
Alphabet City,Clinton Hill,4.407659329600768,0.3625
Alphabet City,Clinton West,4.66213555143287,0.3315277777777778
Alphabet City,DUMBO/Vinegar Hill,2.442721609235619,0.19444444444444445
Alphabet City,Downtown Brooklyn/MetroTech,3.253829950238453,0.20291666666666666
Alphabet City,East Chelsea,3.2241893962391526,0.3242361111111111
Alphabet City,East Harlem North,9.104232642311779,0.30333333333333334
Alphabet City,East Harlem South,7.581178391776866,0.3144444444444444
Alphabet City,East Village,0.9993830097883851,0.08308333333333334
Alphabet City,Elmhurst/Maspeth,7.421197409941965,0.23805555555555555
Alphabet City,Financial District North,2.9557901769359374,0.20761904761904762
Alphabet City,Financial District South,3.3481596938901874,0.18575396825396825
Alphabet City,Flatiron,2.434332054189832,0.2085925925925926
Alphabet City,Fort Greene,3.8364733280089895,0.21194444444444444
Alphabet City,Garment District,3.4042432222854178,0.37864583333333335
Alphabet City,Gramercy,1.4435961392402845,0.12119047619047618
Alphabet City,Greenpoint,1.8625487322285372,0.3427777777777778
Alphabet City,Greenwich Village North,1.5746189525395928,0.15158564814814815
Alphabet City,Greenwich Village South,1.4301083623309454,0.12795524691358023
Alphabet City,Hamilton Heights,11.005334336274485,0.49694444444444447
Alphabet City,Hudson Sq,2.292965213383399,0.19619444444444445
Alphabet City,JFK Airport,18.577217019913203,0.8007539682539683
Alphabet City,Kew Gardens Hills,13.759863081895679,0.34388888888888886
Alphabet City,Kips Bay,1.9849449881078531,0.15207264957264957
Alphabet City,LaGuardia Airport,10.7121431757356,0.4140740740740741
Alphabet City,Lenox Hill East,4.719493867327962,0.24538888888888888
Alphabet City,Lenox Hill West,4.839496584942529,0.34305555555555556
Alphabet City,Lincoln Square East,4.893036096154756,0.3683333333333333
Alphabet City,Lincoln Square West,5.76081145203394,0.3494444444444444
Alphabet City,Little Italy/NoLiTa,1.4964107112307365,0.16430555555555554
Alphabet City,Lower East Side,0.9462986508424107,0.0836888888888889
Alphabet City,Manhattan Valley,7.6766136823418165,0.47305555555555556
Alphabet City,Meatpacking/West Village West,2.6646386974305933,0.26037037037037036
Alphabet City,Midtown Center,3.8102147302027816,0.31592592592592594
Alphabet City,Midtown East,3.5647672034751414,0.24021367521367523
Alphabet City,Midtown North,4.600863195161618,0.3725
Alphabet City,Midtown South,2.836346194708362,0.26592592592592595
Alphabet City,Morningside Heights,9.743017332406176,0.4713888888888889
Alphabet City,Murray Hill,2.800871339220189,0.2667222222222222
Alphabet City,Newark Airport,17.90379459405947,0.6888888888888889
Alphabet City,Old Astoria,7.382095200967846,0.5413888888888889
Alphabet City,Penn Station/Madison Sq West,2.9900427870123982,0.30192592592592593
Alphabet City,Prospect-Lefferts Gardens,7.795505771905686,0.3030555555555556
Alphabet City,Riverdale/North Riverdale/Fieldston,20.488924721893348,0.5594444444444445
Alphabet City,Seaport,2.8256072119067848,0.19439814814814815
Alphabet City,SoHo,1.8383511398292078,0.18156250000000002
Alphabet City,Stuy Town/Peter Cooper Village,0.7343925888539804,0.05583333333333333
Alphabet City,Stuyvesant Heights,4.763230554510492,0.3561111111111111
Alphabet City,Sunset Park West,9.804079268667758,0.5236111111111111
Alphabet City,Sutton Place/Turtle Bay North,3.946563006312817,0.24483333333333332
Alphabet City,Times Sq/Theatre District,4.058968781518614,0.30472222222222217
Alphabet City,TriBeCa/Civic Center,2.40302799886107,0.24592592592592594
Alphabet City,Two Bridges/Seward Park,1.15018634546914,0.13294444444444445
Alphabet City,UN/Turtle Bay South,3.044287973292567,1.2504419191919192
Alphabet City,Union Sq,2.1043245906012635,0.20506944444444444
Alphabet City,Upper East Side North,6.500788387452786,0.365625
Alphabet City,Upper East Side South,5.296289525939716,0.3680555555555556
Alphabet City,Upper West Side North,7.603642580493976,0.31180555555555556
Alphabet City,Washington Heights South,14.335691209643127,0.30583333333333335
Alphabet City,West Chelsea/Hudson Yards,3.8339799777693977,0.30317460317460315
Alphabet City,West Village,2.398121757950449,0.22236111111111112
Alphabet City,Williamsburg (North Side),1.9934761126801528,0.21
Alphabet City,Williamsburg (South Side),1.7092632812434423,0.22444444444444445
Alphabet City,World Trade Center,3.414461223961752,0.18180555555555555
Alphabet City,Yorkville East,6.290330015208612,0.28694444444444445
Alphabet City,Yorkville West,6.25299063687477,0.31881944444444443
Astoria,Alphabet City,6.083646227985496,0.29333333333333333
Astoria,Astoria,0.902777782482562,0.07296799516908212
Astoria,Astoria Park,1.5699590031973385,0.12416666666666668
Astoria,Baisley Park,15.194106803013245,0.6419444444444444
Astoria,Bay Ridge,17.76392391454533,0.34194444444444444
Astoria,Bedford,6.9958445683261505,0.3466666666666667
Astoria,Bloomingdale,5.819464461120922,0.39305555555555555
